SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG_2020,NPOPCHG_2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALINC2020,NATURALINC2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021,RBIRTH2021,RDEATH2021,RNATURALINC2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021
010,0,0,00,United States,331449281,331501080,331893745,51799,392665,893000,3581986,853448,3433943,39552,148043,12247,244622,0,0,12247,244622,0,0,10.798956715,10.352637285,0.4463194298,0.7374854032,0,0.7374854032
020,1,0,00,Northeast Region,57609148,57525633,57159838,-83515,-365795,145067,570592,148129,601644,-3062,-31052,3314,56046,-82743,-389638,-79429,-333592,-1024,-1151,9.9505542424,10.49207009,-0.541515847,0.9773862288,-6.794897324,-5.817511095
020,2,0,00,Midwest Region,68985454,68935174,68841444,-50280,-93730,190941,748166,193237,761784,-2296,-13618,1678,37835,-48944,-123103,-47266,-85268,-718,5156,10.860565615,11.058247924,-0.197682309,0.5492223651,-1.786994075,-1.23777171
020,3,0,00,South Region,126266107,126409007,127225329,142900,816322,345546,1416400,337628,1366769,7918,49631,6553,112394,127901,657682,134454,770076,528,-3385,11.168834806,10.777476122,0.3913586842,0.886268017,5.1860643978,6.0723324148
020,4,0,00,West Region,78588572,78631266,78667134,42694,35868,211446,846828,174454,703746,36992,143082,702,38347,3786,-144941,4488,-106594,1214,-620,10.767153385,8.9479104683,1.8192429166,0.4875701215,-1.842879521,-1.355309399
040,3,6,01,Alabama,5024279,5024803,5039877,524,15074,13410,56320,16148,64868,-2738,-8548,-2,1244,3339,22136,3337,23380,-75,242,11.191612649,12.890226018,-1.698613369,0.2472011033,4.3987488922,4.6459499954
040,4,9,02,Alaska,733391,732441,732673,-950,232,2407,9280,1384,5641,1023,3639,21,526,-2033,-3879,-2012,-3353,39,-54,12.667956214,7.7004246769,4.9675315368,0.718032863,-5.295151094,-4.577118231
040,4,8,04,Arizona,7151502,7177986,7276316,26484,98330,18036,76497,18340,75665,-304,832,167,4478,26624,93026,26791,97504,-3,-6,10.584668841,10.469547405,0.1151214358,0.6196079202,12.871738808,13.491346728
040,3,7,05,Arkansas,3011524,3012232,3025891,708,13659,8554,35021,9449,38257,-895,-3236,30,824,1588,16016,1618,16840,-15,55,11.599962439,12.671818709,-1.071856271,0.2729324991,5.304959836,5.5778923351
040,4,9,06,California,39538223,39499738,39237836,-38485,-261902,104957,424333,81738,332337,23219,91996,-478,14339,-62084,-367299,-62562,-352960,858,-938,10.778411842,8.4416367718,2.3367750701,0.3642225502,-9.329700709,-8.965478159
040,4,8,08,Colorado,5773714,5784308,5812069,10594,27761,15242,60675,11835,47988,3407,12687,39,1677,6980,13054,7019,14731,168,343,10.464475241,8.2763780446,2.1880971962,0.289228265,2.2513928273,2.5406210923
